Entity, Alias: Default, Base Currency
030002,Success Diar Sdn. Bhd.,QAR
031001,,QAR
001006,Lusail RE Develop Co. W.L.L.,QAR
013020,8 Whistler Square limited,GBP
013019,30 GS Management Services Limited,GBP
001053,Simaisma Real Estate Investment WLL,QAR
E127000,Simaisma For Entertainment WLL Subconsol,QAR
001054,Simaisma For Entertainment WLL,QAR
001058,North Entertainment LLC,QAR
013023,CB Phase 1 Retail Limited,QAR
013024,QDUK Holdings GP LLP,GBP
013025,QD Minority Holdings Liminted,GBP
001055,Safari Park Doha WLL,QAR
001056,Darb Lusail for Real Estate Investment WLL,QAR
E126000,QD Alam Al Rom For Real Estate Investment WLL Subconsol,QAR
001057,QD Alam Al Rom For Real Estate Investment WLL,QAR
002014,Qatari Diar for Urban Development – Alam Al Roum,QAR
001059,Simaisma Projects WLL,QAR
E900000,QD Group Adj Entities,QAR
E900001,QD Group Adjustment Entities (H),QAR
Related Parties,,QAR
Associates,,QAR
A_001,Gulf Organisation for research and development,QAR
A_002,London and Regional SA,QAR
A_003,Braeburn (Shell Centre),QAR
A_004,CCDC Residential Rental L.L.C.,QAR
A_005,CCDC Office L.L.C.,QAR
A_006,CCDC  Retail L.L.C.,QAR
A_007,CCDC B Hotel LLC,QAR
A_008,CCDC B Retail LLC,QAR
A_009,LIC Site B-1 JV Holdings L.P.,QAR
Other Related Parties,,QAR
RP_001,London and Reigonal,QAR
RP_002,Qatar Investment Authority,QAR
RP_003,QBC Joint venture,QAR
RP_004,DOHA METRO PROJECT - QDVC-GS E&C-ADE JV,QAR
RP_005,QDVC Bin Omran JV-NOH,QAR
RP_006,Consolidated Contactors Group S.A.L (offshore),QAR
RP_007,SBG-Porr-HBK JV,QAR
RP_008,PORR Bau GmbH (Qatar Branch),QAR
RP_009,Hamad Bin Khalid Contracting Company W.L.L.,QAR
RP_010,RP_010:Other Related Party,QAR
RP_011,RP_011:Other Related Party,QAR
RP_012,RP_012:Other Related Party,QAR
RP_013,RP_013:Other Related Party,QAR
RP_014,RP_014:Other Related Party,QAR
RP_015,RP_015:Other Related Party,QAR
RP_016,RP_016:Other Related Party,QAR
RP_017,RP_017:Other Related Party,QAR
RP_018,RP_018:Other Related Party,QAR
RP_019,RP_019:Other Related Party,QAR
