Skipped: net=-546381.38, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=512043:512043:Expenses Clearing
Skipped: net=-12882.02, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=512045:512045:Bank charges account
Skipped: net=2443.23, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=514001:514001:Legal expenses- General
Skipped: net=372471.23, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=FCCS_Discontinued Operations Income:Discontinued Operations Income
Skipped: net=-156868.64, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512002:512002:Lusail City Tender Advertisements
Skipped: net=225684.6, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512016:512016:Sundry expenses
Skipped: net=-68815.96, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=FCC_Minority Interest Income_Manual Input:Minority Interest Income_Manual Input
Skipped: net=-134052.0, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=167008:167008:Prepaid expenses
Skipped: net=5693883.0, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=168100:168100:Non current asset held for sale
Skipped: net=-5522619.0, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=184995:184995:Current account - GBP
Skipped: net=-37212.0, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=187012:187012:Current - Other receivables
Skipped: net=-306253.51, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=224021:224021:Liabilities associated with the assets held for sale.
Skipped: net=306253.51, entity=E107000:Project Blue Holdings Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=226008:226008:Other payables - current liabilities.
Skipped: net=13112760.0, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=-6900.0, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[312000].[310004]:310004:Translation_Reserve
Skipped: net=6900.0, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=1334481.14, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512002:512002:Lusail City Tender Advertisements
Skipped: net=-1919898.89, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512016:512016:Sundry expenses
Skipped: net=-358.41, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512027:512027:Business meeting expenses
Skipped: net=585776.16, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=FCC_Minority Interest Income_Manual Input:Minority Interest Income_Manual Input
Skipped: net=-1334481.13, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512002:512002:Lusail City Tender Advertisements
Skipped: net=1919898.89, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=512016:512016:Sundry expenses
Skipped: net=-585417.76, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=FCC_Minority Interest Income_Manual Input:Minority Interest Income_Manual Input
Skipped: net=-57538.74, entity=E109000:QD Istanbul Gayrimenkul Gelistirme Yatirim Insaat Ve Ticaret Ltd. Sirketi, icp=FCCS_No Intercompany:No Intercompany, acct=512016:512016:Sundry expenses
Skipped: net=45057.83, entity=E109000:QD Istanbul Gayrimenkul Gelistirme Yatirim Insaat Ve Ticaret Ltd. Sirketi, icp=FCCS_No Intercompany:No Intercompany, acct=532011:532011:Amortisation of Right of use (Lease)
Skipped: net=12480.91, entity=E109000:QD Istanbul Gayrimenkul Gelistirme Yatirim Insaat Ve Ticaret Ltd. Sirketi, icp=FCCS_No Intercompany:No Intercompany, acct=534021:534021:Interest expense on lease liability
Skipped: net=-17500.0, entity=026001:QDRE Investment Co. (Seychelles) Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=224021:224021:Liabilities associated with the assets held for sale.
Skipped: net=17500.0, entity=026001:QDRE Investment Co. (Seychelles) Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=226002:226002:Accrued expenses
Skipped: net=-25000.0, entity=026001:QDRE Investment Co. (Seychelles) Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=512001:512001:Audit expenses
Skipped: net=-4792.22, entity=026001:QDRE Investment Co. (Seychelles) Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=514001:514001:Legal expenses- General
Skipped: net=29792.22, entity=026001:QDRE Investment Co. (Seychelles) Ltd., icp=FCCS_No Intercompany:No Intercompany, acct=FCCS_Discontinued Operations Income:Discontinued Operations Income
Skipped: net=8627775.02, entity=E113000:Marafeq Qatar Co. W.L.L., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=-8627775.02, entity=E113000:Marafeq Qatar Co. W.L.L., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315002]:315002:Transfer/reclassifications during the period
Skipped: net=-188191.01, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=188191.01, entity=E112000:Qatari Diar Development Company L.L.C., icp=FCCS_No Intercompany:No Intercompany, acct=[314000].[315005]:315005:Minority_Interest
Skipped: net=-9.05, entity=E114000:Project Russet (Holdings Company) Ltd, Jersey, icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=9.05, entity=E114000:Project Russet (Holdings Company) Ltd, Jersey, icp=FCCS_No Intercompany:No Intercompany, acct=[314000].[315005]:315005:Minority_Interest
Skipped: net=-132.66, entity=E115000:Bawabat El Sharq Egypt Real_Estate, icp=FCCS_No Intercompany:No Intercompany, acct=[FCCS_Retained Earnings].[315001]:315001:Retained earnings_
Skipped: net=132.66, entity=E115000:Bawabat El Sharq Egypt Real_Estate, icp=FCCS_No Intercompany:No Intercompany, acct=[314000].[315005]:315005:Minority_Interest
